Daily game time,Action/adventure,Shooting,Sports,Fantasy/rol,Racing,Fight,Strategy,Puzzles,Reading,Physical exercise/sports,Musical activities,Artistic activities,TTCT Test Score
From 2 to 4 hours,5,5,1,5,5,5,5,5,4,5,3,2,83
Less than 2 hours,1,1,1,2,1,1,1,1,4,4,4,3,117
I don't play video games,1,1,1,1,1,1,1,1,5,4,3,5,140
More than 6 hours,1,1,4,2,4,4,1,1,1,5,1,1,79
Less than 2 hours,5,5,5,1,3,4,1,2,3,5,4,5,107
Less than 2 hours,1,1,2,1,1,3,1,1,5,3,4,4,90
More than 6 hours,1,1,1,1,1,1,1,5,1,5,5,5,119
I don't play video games,1,1,1,1,1,1,1,1,4,3,1,2,92
Less than 2 hours,3,4,2,2,3,1,1,1,2,4,1,2,115
I don't play video games,1,1,1,1,1,1,1,1,5,4,3,3,112
I don't play video games,1,1,1,1,1,1,1,1,3,4,4,4,96
Less than 2 hours,1,4,3,2,1,1,3,1,4,4,2,2,86
Less than 2 hours,3,5,2,1,1,1,1,1,5,5,3,2,102
I don't play video games,1,1,1,1,1,1,1,1,3,2,5,3,94
Less than 2 hours,1,2,4,2,1,2,1,1,3,4,3,2,92
Less than 2 hours,1,1,1,2,1,1,1,1,2,5,2,4,117
From 2 to 4 hours,3,4,4,4,2,1,2,3,2,4,3,4,105
Less than 2 hours,1,1,3,2,1,2,1,2,3,3,3,3,118
Less than 2 hours,4,2,1,3,1,1,2,1,3,3,4,2,94
I don't play video games,1,1,1,1,1,1,1,1,4,5,3,4,115
From 4 to 6 hours,4,1,1,5,1,1,3,1,2,4,2,1,86
I don't play video games,1,1,1,1,1,1,1,1,4,3,2,1,93
Less than 2 hours,2,2,3,3,2,4,1,1,4,4,4,3,80
From 2 to 4 hours,1,1,1,4,1,1,4,1,4,4,1,2,137
I don't play video games,1,1,1,1,1,1,1,1,2,1,1,1,71
From 2 to 4 hours,2,1,4,2,3,4,1,1,4,2,1,1,116
